antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer', 'regency tea plate roses'})","frozenset({'regency tea plate green', 'roses regency teacup and saucer'})",0.05019305019305019,0.06177606177606178,0.05019305019305019,1.0,16.1875,0.04709232122359535,inf
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier', 'regency tea plate pink'})","frozenset({'regency tea plate green', 'roses regency teacup and saucer'})",0.05019305019305019,0.06177606177606178,0.05019305019305019,1.0,16.1875,0.04709232122359535,inf
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier', 'regency tea plate roses'})","frozenset({'regency tea plate green', 'roses regency teacup and saucer'})",0.05019305019305019,0.06177606177606178,0.05019305019305019,1.0,16.1875,0.04709232122359535,inf
"frozenset({'regency cakestand 3 tier', 'regency tea plate pink'})",frozenset({'regency tea plate green'}),0.06177606177606178,0.08108108108108109,0.06177606177606178,1.0,12.333333333333332,0.05676719190232704,inf
"frozenset({'regency cakestand 3 tier', 'regency tea plate roses', 'green regency teacup and saucer'})",frozenset({'regency tea plate green'}),0.05019305019305019,0.08108108108108109,0.05019305019305019,1.0,12.333333333333332,0.046123343420640714,inf
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier', 'regency tea plate pink'})",frozenset({'regency tea plate green'}),0.05019305019305019,0.08108108108108109,0.05019305019305019,1.0,12.333333333333332,0.046123343420640714,inf
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier', 'regency tea plate roses'})",frozenset({'regency tea plate green'}),0.05019305019305019,0.08108108108108109,0.05019305019305019,1.0,12.333333333333332,0.046123343420640714,inf
"frozenset({'regency cakestand 3 tier', 'regency tea plate pink', 'regency tea plate roses'})",frozenset({'regency tea plate green'}),0.05405405405405406,0.08108108108108109,0.05405405405405406,1.0,12.333333333333332,0.04967129291453616,inf
"frozenset({'regency cakestand 3 tier', 'regency tea plate pink', 'roses regency teacup and saucer'})",frozenset({'regency tea plate green'}),0.05405405405405406,0.08108108108108109,0.05405405405405406,1.0,12.333333333333332,0.04967129291453616,inf
"frozenset({'regency cakestand 3 tier', 'green regency teacup and saucer', 'regency tea plate roses', 'roses regency teacup and saucer'})",frozenset({'regency tea plate green'}),0.05019305019305019,0.08108108108108109,0.05019305019305019,1.0,12.333333333333332,0.046123343420640714,inf
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier', 'regency tea plate pink', 'roses regency teacup and saucer'})",frozenset({'regency tea plate green'}),0.05019305019305019,0.08108108108108109,0.05019305019305019,1.0,12.333333333333332,0.046123343420640714,inf
"frozenset({'pink regency teacup and saucer', 'regency cakestand 3 tier', 'regency tea plate roses', 'roses regency teacup and saucer'})",frozenset({'regency tea plate green'}),0.05019305019305019,0.08108108108108109,0.05019305019305019,1.0,12.333333333333332,0.046123343420640714,inf
"frozenset({'regency cakestand 3 tier', 'regency tea plate pink', 'regency tea plate roses', 'roses regency teacup and saucer'})",frozenset({'regency tea plate green'}),0.05019305019305019,0.08108108108108109,0.05019305019305019,1.0,12.333333333333332,0.046123343420640714,inf
"frozenset({'regency cakestand 3 tier', 'regency teapot roses'})",frozenset({'regency sugar bowl green'}),0.05405405405405406,0.09266409266409266,0.05405405405405406,1.0,10.791666666666668,0.04904518418031932,inf
"frozenset({'regency cakestand 3 tier', 'regency teapot roses', 'roses regency teacup and saucer'})",frozenset({'regency sugar bowl green'}),0.05019305019305019,0.09266409266409266,0.05019305019305019,1.0,10.791666666666668,0.045541956738867934,inf
"frozenset({'regency tea plate pink', 'green regency teacup and saucer'})","frozenset({'pink regency teacup and saucer', 'roses regency teacup and saucer'})",0.05019305019305019,0.10424710424710425,0.05019305019305019,1.0,9.592592592592593,0.04496057005709515,inf
